utc_d,utc_t,lat,lon,alt,sat
2021-02-09,16:07:46,48.96017,9.13231,236.6,7
2021-02-09,16:07:51,48.95943,9.13261,235.9,7
2021-02-09,16:07:56,48.95876,9.13270,235.9,7
2021-02-09,16:08:01,48.95820,9.13257,234.7,7
2021-02-09,16:08:06,48.95782,9.13229,235.3,6
2021-02-09,16:08:11,48.95735,9.13192,237.8,7
2021-02-09,16:08:16,48.95677,9.13199,233.9,7
2021-02-09,16:08:21,48.95630,9.13258,235.0,7
2021-02-09,16:08:26,48.95618,9.13337,237.4,6
2021-02-09,16:08:31,48.95622,9.13418,235.5,6
2021-02-09,16:08:36,48.95606,9.13489,235.8,6
2021-02-09,16:08:41,48.95569,9.13522,236.1,6
2021-02-09,16:08:46,48.95531,9.13496,239.1,6
2021-02-09,16:08:51,48.95512,9.13430,238.0,6
2021-02-09,16:08:56,48.95460,9.13430,241.7,6
2021-02-09,16:09:01,48.95401,9.13462,248.9,6
2021-02-09,16:09:06,48.95340,9.13492,252.8,6
2021-02-09,16:09:11,48.95277,9.13524,257.3,6
2021-02-09,16:09:16,48.95215,9.13555,259.5,7
2021-02-09,16:09:21,48.95156,9.13585,261.4,7
2021-02-09,16:09:26,48.95108,9.13609,263.9,5
2021-02-09,16:09:31,48.95071,9.13629,264.7,6
2021-02-09,16:09:36,48.95030,9.13648,265.8,6
2021-02-09,16:09:41,48.94997,9.13664,265.8,6
2021-02-09,16:09:46,48.94993,9.13666,267.0,6
2021-02-09,16:09:51,48.94995,9.13667,267.4,6
2021-02-09,16:09:56,48.94996,9.13667,267.3,6
2021-02-09,16:10:01,48.94997,9.13666,267.0,6
2021-02-09,16:10:06,48.94997,9.13666,266.9,6
2021-02-09,16:10:11,48.94997,9.13666,266.7,6
2021-02-09,16:10:16,48.94998,9.13666,266.4,6
2021-02-09,16:10:21,48.94999,9.13666,266.4,6
2021-02-09,16:10:26,48.94995,9.13668,266.2,6
2021-02-09,16:10:31,48.94976,9.13663,266.9,7
2021-02-09,16:10:36,48.94961,9.13597,265.9,7
2021-02-09,16:10:41,48.94921,9.13541,265.2,6
2021-02-09,16:10:46,48.94873,9.13532,258.8,7
2021-02-09,16:10:51,48.94849,9.13526,261.2,7
2021-02-09,16:10:56,48.94851,9.13518,263.0,7
2021-02-09,16:11:01,48.94852,9.13518,264.4,7
2021-02-09,16:11:06,48.94852,9.13518,264.7,7
2021-02-09,16:11:11,48.94852,9.13518,264.6,7
2021-02-09,16:11:16,48.94852,9.13517,265.0,7
2021-02-09,16:11:21,48.94831,9.13502,265.1,7
2021-02-09,16:11:26,48.94798,9.13444,264.5,7
2021-02-09,16:11:31,48.94765,9.13380,264.9,7
2021-02-09,16:11:36,48.94745,9.13329,264.6,7
2021-02-09,16:11:41,48.94740,9.13315,264.2,7
2021-02-09,16:11:46,48.94738,9.13317,261.7,7
2021-02-09,16:11:51,48.94731,9.13286,261.0,7
2021-02-09,16:11:56,48.94716,9.13232,260.9,7
2021-02-09,16:12:01,48.94705,9.13211,260.7,7
2021-02-09,16:12:06,48.94702,9.13196,260.9,7
2021-02-09,16:12:11,48.94693,9.13167,262.2,7
2021-02-09,16:12:16,48.94660,9.13160,264.0,7
2021-02-09,16:12:21,48.94629,9.13143,267.8,7
2021-02-09,16:12:26,48.94591,9.13117,271.1,6
2021-02-09,16:12:31,48.94545,9.13089,270.2,6
2021-02-09,16:12:36,48.94495,9.13051,271.0,7
2021-02-09,16:12:41,48.94447,9.13011,271.5,6
